ALDER,Alder Residence Hall,A
ARTA,Art A,V
ARTB,Art B,R
BH,Baiocchi House,Q2
BALH,Balabanis House (MCC),S
BSS,Behavioral & Soc. Sciences,P2
BOAT,Boat Facility,O2
BRH,Brero House (ITEPP),I
BHH,Bret Harte House,W
BROH,Brookins House,Z
BUCH,Buck House (CCAT),P2
CA,Campus Apartments,S
CEF,Campus Events Field,I2
CEDAR,Cedar Residence Hall,A
CERAM,Ceramics Lab,X
CDL,Child Dev. Lab- Swetman,G2
CHINQ,Chinquapin Residence Hall,A
CCF,College Creek Field,F2
CCFLR,College Cr. Field Locker Rooms,F2
CCCTR,Community Center,F2
CREEK,Creekview Complex,B
CYPRS,Cypress Residence Hall,E
DELNO,Del Norte Residence Hall,F2
SCIE,Dennis K. Walker Greenhouse,D2
GRNH,Experimental Greenhouse,Z
FM,Facilities Management,N2
FERN,Fern Residence Hall,B
FWH,Feuerwerker House,F
FSH,Fish Hatchery,L2
FGYM,Forbes Gym,C2
FR,Forestry,R2
FH,Founders Hall,H
GH,Gist Hall,Y
HH,Hadley House,S
HAH,Hagopian House (YES),I
HGH,Harry Griffith Hall,G2
HEMLC,Hemlock Residence Hall,A
JH,Jenkins Hall,Z
JENH,Jensen House (Children's Center),Q2
JGC,Jolly Giant Commons,C
JUNIP,Juniper Residence Hall,B
KA,Kinesiology & Athletics,B2
LAURE,Laurel Residence Hall,B
LIB,Library,L
LAPT,Little Apartments,I
MADRN,Madrone Residence Hall,A
MAPLE,Maple Residence Hall,A
MWCC,Marine Wildlife Care Center,K2
MCOM,Marketing & Communications,Q2
MWH,Mary Warren House,Q2
MENDO,Mendocino Residence Hall,H2
MUSA,Music A,P
MUSB,Music B,R
NR,Natural Resources,M2
NHE,Nelson Hall East,G
NHW,Nelson Hall West,G
PARK,Parking Kiosk,Y
PEPR,Pepperwood Residence Hall,A
RWC,Recreation & Wellness Center,T
RB,Redwood Bowl,O
REDWO,Redwood Residence Hall,D
SERC,Schatz Energy Research Ctr,T2
SCIA,Science A,Z
SCIB,Science B,D2
SCIC,Science C,D2
SCID,Science D,I2
SCLPT,Sculpture Lab,X
SHAST,Shasta Residence Hall,F2
SR,Shipping & Receiving,N2
SH,Siemens Hall,N
SBS,Student & Business Services,E2
HC,Student Health & Counseling,K
SRC,Student Recreation Center,A2
SUNST,Sunset Residence Hall,D
TANOK,Tan Oak Residence hall,A
TH,Telonicher House,U
TA,Theatre Arts,P
TOD,Toddler Center,Q2
ANEX,Trinity Annex,S2
TRIN,Trinity,H2
UC,University Center,J
UPF,Upper Playing Field,Q
VMH,Van Matre Hall,M
WAGH,Wagner House,X
WWH,Walter Warren House,Q2
WH,Warren House,W
WDFS,Wildlife & Fisheries,J2
WGP,Wildlife Game Pens,L2
WILLO,Willow Residence Hall,B
