A,Canyon Complex
B,Creekview Complex
C,Jolly Giant Commons
D,The Hill
E,Cypress Hall
F,Feuerwerker House
G,Nelson Hall
H,Founders Hall
I,YES/ITEPP/Little Apartments
J,University Center
K,Student Health & Counseling
L,Library
M,Van Matre Hall
N,Siemens Hall
O,Redwood Bowl
P,Music A
Q,Upper Playing Field
R,Music B/Art B
S,MCC/Hadley House
T,Recreation & Wellness Center
U,Telonicher House
V,Art A
W,Bret Harte House/Warren House
X,Sculpture Lab
Y,Gist Hall
Z,Science A
A2,Student Recreation Center
B2,Kinesiology & Athletics
C2,Forbes Gym
D2,Science B
E2,Student & Business Services
F2,Del Norte/Shasta (College Creek)
G2,Child Development Lab/Harry Griffith Hall
H2,Trinity/Mendocino (College Creek)
I2,
J2,
K2,
L2,
M2,
N2,
O2,
P2,
Q2,
R2,
S2,
T2,
